Date,Open,Close,High,Low,Volume,Volatility,PercentageChange,Change,TurnoverRatio
2022-11-02,1460.0,1471.96,1506.0,1436.0,79777,4.79,0.68,9.95,0.64
2022-11-03,1443.57,1439.5,1462.5,1428.1,45160,2.34,-2.21,-32.46,0.36
2022-11-04,1437.96,1516.57,1527.77,1437.96,80008,6.24,5.35,77.07,0.64
2022-11-07,1494.05,1507.11,1518.48,1486.59,42698,2.1,-0.62,-9.46,0.34
2022-11-08,1508.0,1484.88,1517.99,1468.96,39325,3.25,-1.48,-22.23,0.31
2022-11-09,1483.95,1459.9,1488.88,1450.0,36090,2.62,-1.68,-24.98,0.29
2022-11-10,1444.0,1475.0,1485.0,1435.15,37720,3.41,1.03,15.1,0.3
2022-11-11,1528.0,1528.15,1544.45,1494.98,73947,3.35,3.6,53.15,0.59
2022-11-14,1543.5,1533.0,1563.53,1528.0,57370,2.33,0.32,4.85,0.46
2022-11-15,1532.0,1588.0,1598.97,1521.0,56318,5.09,3.59,55.0,0.45
2022-11-16,1581.0,1585.25,1598.0,1568.0,26848,1.89,-0.17,-2.75,0.21
2022-11-17,1590.5,1567.0,1596.3,1552.88,30580,2.74,-1.15,-18.25,0.24
2022-11-18,1576.0,1567.13,1584.0,1556.0,23609,1.79,0.01,0.13,0.19
2022-11-21,1541.35,1519.98,1541.35,1498.53,39096,2.73,-3.01,-47.15,0.31
2022-11-22,1517.44,1539.95,1559.74,1516.11,29901,2.87,1.31,19.97,0.24
2022-11-23,1528.0,1549.0,1557.0,1521.04,22177,2.34,0.59,9.05,0.18
2022-11-24,1559.0,1519.99,1568.88,1513.98,27687,3.54,-1.87,-29.01,0.22
2022-11-25,1520.51,1522.01,1532.0,1510.0,18621,1.45,0.13,2.02,0.15
2022-11-28,1484.78,1509.88,1515.0,1451.0,47723,4.2,-0.8,-12.13,0.38
2022-11-29,1569.56,1599.0,1600.0,1551.0,73420,3.25,5.9,89.12,0.58
2022-11-30,1587.12,1599.0,1604.0,1585.0,31497,1.19,0.0,0.0,0.25
2022-12-01,1660.0,1630.8,1680.0,1630.79,51358,3.08,1.99,31.8,0.41
2022-12-02,1635.0,1633.88,1652.99,1621.2,23884,1.95,0.19,3.08,0.19
2022-12-05,1668.0,1664.9,1679.0,1649.0,36127,1.84,1.9,31.02,0.29
2022-12-06,1655.0,1688.0,1726.9,1652.0,44147,4.5,1.39,23.1,0.35
2022-12-07,1677.81,1684.0,1720.0,1670.03,35526,2.96,-0.24,-4.0,0.28
2022-12-08,1682.0,1687.02,1695.0,1665.0,19730,1.78,0.18,3.02,0.16
2022-12-09,1692.0,1730.0,1730.0,1682.0,39215,2.85,2.55,42.98,0.31
2022-12-12,1715.86,1739.02,1766.0,1715.0,34755,2.95,0.52,9.02,0.28
2022-12-13,1737.0,1750.0,1760.69,1730.0,21385,1.76,0.63,10.98,0.17
2022-12-14,1743.0,1770.87,1780.8,1743.0,29098,2.16,1.19,20.87,0.23
2022-12-15,1805.0,1786.99,1816.0,1780.0,30634,2.03,0.91,16.12,0.24
2022-12-16,1773.25,1786.87,1791.0,1743.0,33303,2.69,-0.01,-0.12,0.27
2022-12-19,1798.8,1773.0,1798.8,1760.17,24987,2.16,-0.78,-13.87,0.2
2022-12-20,1765.33,1715.0,1765.33,1682.45,46198,4.67,-3.27,-58.0,0.37
2022-12-21,1724.0,1739.0,1739.0,1717.65,22816,1.24,1.4,24.0,0.18
2022-12-22,1756.7,1768.0,1783.0,1745.0,23175,2.19,1.67,29.0,0.18
2022-12-23,1752.4,1771.0,1782.0,1745.0,17319,2.09,0.17,3.0,0.14
2022-12-26,1771.0,1742.06,1771.0,1735.02,21384,2.03,-1.63,-28.94,0.17
2022-12-27,1738.0,1733.0,1747.15,1725.5,17905,1.24,-0.52,-9.06,0.14
2022-12-28,1745.88,1733.0,1747.0,1708.01,21438,2.25,0.0,0.0,0.17
2022-12-29,1717.0,1719.0,1726.99,1701.05,22418,1.5,-0.81,-14.0,0.18
2022-12-30,1736.0,1727.0,1752.99,1727.0,25333,1.51,0.47,8.0,0.2
2023-01-03,1731.2,1730.01,1738.43,1706.01,26034,1.88,0.17,3.01,0.21
2023-01-04,1730.0,1725.01,1738.7,1716.0,20416,1.31,-0.29,-5.0,0.16
2023-01-05,1737.0,1801.0,1801.0,1733.0,47943,3.94,4.41,75.99,0.38
2023-01-06,1806.12,1803.77,1811.9,1787.0,24904,1.38,0.15,2.77,0.2
2023-01-09,1835.0,1841.2,1849.98,1807.82,30977,2.34,2.08,37.43,0.25
2023-01-10,1839.06,1854.45,1864.5,1830.5,22732,1.85,0.72,13.25,0.18
2023-01-11,1856.0,1844.95,1860.0,1836.84,22720,1.25,-0.51,-9.5,0.18
2023-01-12,1848.0,1834.0,1856.0,1833.0,17193,1.25,-0.59,-10.95,0.14
2023-01-13,1844.18,1887.0,1888.0,1840.0,31940,2.62,2.89,53.0,0.25
2023-01-16,1886.0,1912.9,1935.0,1881.0,36848,2.86,1.37,25.9,0.29
2023-01-17,1913.16,1908.0,1923.0,1895.0,21299,1.46,-0.26,-4.9,0.17
2023-01-18,1914.0,1893.0,1925.3,1890.0,21063,1.85,-0.79,-15.0,0.17
2023-01-19,1892.5,1880.21,1892.52,1866.0,23439,1.4,-0.68,-12.79,0.19
2023-01-20,1889.19,1860.01,1898.25,1858.0,25609,2.14,-1.07,-20.2,0.2
2023-01-30,1909.0,1888.0,1909.0,1880.0,35923,1.56,1.5,27.99,0.29
